put_call,symbol,description,exchange_name,bid,ask,last,mark,bid_size,ask_size,bid_ask_size,last_size,high_price,low_price,open_price,close_price,total_volume,trade_time_in_long,quote_time_in_long,net_change,volatility,delta,gamma,theta,vega,rho,open_interest,time_value,theoretical_option_value,theoretical_volatility,strike_price,expiration_date,days_to_expiration,expiration_type,last_trading_day,multiplier,settlement_type,deliverable_note,percent_change,mark_change,mark_percent_change,intrinsic_value,extrinsic_value,option_root,exercise_type,high_52_week,low_52_week,penny_pilot,non_standard,in_the_money,mini
PUT,AAPL  250627P00205000,AAPL 06/27/2025 205.00 P,OPR,8.45,8.6,8.85,8.52,4,5,4X5,4,11.05,8.71,0,9.07,46,1748634465779,1748635199792,-0.22,29.189,-0.575,0.025,-0.104,0.218,-0.086,687,4.7,8.544,29,205.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-2.43,-0.55,-6.02,4.15,4.7,AAPL,A,14.64,4.15,true,false,true,false
PUT,AAPL  250627P00210000,AAPL 06/27/2025 210.00 P,OPR,11.6,12.15,14.53,11.88,10,139,10X139,1,14.53,12.75,0,12.35,26,1748623713727,1748635199993,2.18,28.49,-0.695,0.023,-0.088,0.195,-0.096,817,5.38,11.716,29,210.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,17.65,-0.48,-3.85,9.15,5.38,AAPL,A,18.13,5.85,true,false,true,false
PUT,AAPL  250627P00215000,AAPL 06/27/2025 215.00 P,OPR,15.2,15.9,15.09,15.55,85,149,85X149,2,18.52,14.55,0,16.18,98,1748635168039,1748635199922,-1.09,28.034,-0.799,0.019,-0.066,0.155,-0.097,147,0.94,15.492,29,215.0,2025-06-27T20:00:00.000+00:00,28,W,1751068800000,100,P,100 AAPL,-6.73,-0.63,-3.92,14.15,0.94,AAPL,A,20.37,7.95,true,false,true,false
PUT,AAPL  250703P00195000,AAPL 07/03/2025 195.00 P,OPR,4.5,4.7,4.21,4.6,29,10,29X10,1,6.23,4.21,0,4.9,532,1748635027131,1748635200719,-0.69,30.573,-0.348,0.02,-0.096,0.227,-0.067,290,4.21,4.6,29,195.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,-14.08,-0.3,-6.12,-5.85,10.06,AAPL,A,8.3,3.9,true,false,false,false
PUT,AAPL  250703P00200000,AAPL 07/03/2025 200.00 P,OPR,6.4,6.8,6.5,6.6,2,61,2X61,1,8.5,6.5,0,7.0,202,1748634691163,1748635199976,-0.5,29.858,-0.452,0.022,-0.099,0.243,-0.085,297,6.5,6.6,29,200.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,-7.14,-0.4,-5.71,-0.85,7.35,AAPL,A,10.75,5.79,true,false,false,false
PUT,AAPL  250703P00205000,AAPL 07/03/2025 205.00 P,OPR,8.75,9.1,9.25,8.93,19,10,19X10,1,11.3,9.25,0,9.21,13,1748633133829,1748635199967,0.04,28.55,-0.566,0.023,-0.092,0.241,-0.102,31,5.1,8.994,29,205.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,0.43,-0.28,-3.05,4.15,5.1,AAPL,A,13.52,7.88,true,false,true,false
PUT,AAPL  250703P00210000,AAPL 07/03/2025 210.00 P,OPR,10.8,13.2,12.58,12.0,8,100,8X100,1,14.84,12.55,0,12.4,4,1748633034171,1748635199768,0.18,27.75,-0.679,0.022,-0.079,0.219,-0.115,30,3.43,12.076,29,210.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,1.45,-0.4,-3.23,9.15,3.43,AAPL,A,16.43,10.75,true,false,true,false
PUT,AAPL  250703P00215000,AAPL 07/03/2025 215.00 P,OPR,15.25,16.5,16.68,15.88,150,150,150X150,1,18.8,16.38,0,16.2,13,1748634391830,1748635199562,0.48,27.612,-0.777,0.019,-0.063,0.182,-0.118,14,2.53,15.823,29,215.0,2025-07-03T20:00:00.000+00:00,34,W,1751587200000,100,P,100 AAPL,2.96,-0.33,-2.03,14.15,2.53,AAPL,A,20.37,15.7,true,false,true,false
PUT,AAPL  250711P00195000,AAPL 07/11/2025 195.00 P,OPR,5.15,5.4,5.15,5.28,5,6,5X6,20,6.96,5.15,0,5.68,58,1748634900151,1748635199809,-0.53,31.252,-0.349,0.018,-0.083,0.252,-0.081,24,5.15,5.275,29,195.0,2025-07-11T20:00:00.000+00:00,42,W,1752278400000,100,P,100 AAPL,-9.34,-0.4,-7.06,-5.85,11.0,AAPL,A,6.96,5.15,true,false,false,false
PUT,AAPL  250711P00200000,AAPL 07/11/2025 200.00 P,OPR,6.05,7.35,7.15,6.7,146,20,146X20,1,9.27,7.15,0,7.25,23,1748634776218,1748635199932,-0.1,28.477,-0.441,0.021,-0.078,0.269,-0.099,6,7.15,6.7,29,200.0,2025-07-11T20:00:00.000+00:00,42,W,1752278400000,100,P,100 AAPL,-1.38,-0.55,-7.62,-0.85,8.0,AAPL,A,9.27,6.6,true,false,false,false
